year,n_days,dominant_regime,gpr_mean,real_var,real_mean,jd_var,heston_var,fbm_var,jd_error,heston_error,fbm_error
2020,253,low_stable,86.45608767784631,-16.275740489466738,3.60462597784086,-99.79297781802092,-42.75809302373516,-42.49692575670095,83.51723732855417,26.48235253426842,26.221185267234215
2021,252,low_stable,91.69599542163667,-8.436830012989057,1.6564844935136298,-99.81634542778181,-42.541605386585346,-41.3532283061804,91.37951541479275,34.10477537359629,32.91639829319134
2022,251,high_falling,173.46173984785955,-16.838264323866643,-2.218289681121952,-99.9781163703338,-44.02399448259388,-40.579310082230776,83.13985204646715,27.185730158727235,23.741045758364134
2023,250,high_rising,133.44221214294433,-6.7271752923831505,3.2788203748151896,-99.9479283006723,-45.66621966554391,-42.14859403241681,93.22075300828915,38.93904437316076,35.42141874003366
2024,252,high_rising,147.62044487302265,-8.987458809449727,1.649906076721207,-99.95920964312901,-42.467819113936464,-41.04812264826244,90.9717508336793,33.48036030448674,32.060663838812715
2025,250,high_rising,158.89327688598632,-13.917648258093928,3.351068746205485,-99.96607374438636,-43.18813535736814,-40.88549300484466,86.04842548629243,29.270487099274213,26.967844746750735
2026,88,high_rising,242.64125862988558,-6.9440244637803685,10.492001735822267,-99.99597268697366,-44.025763071491745,-40.55834634589896,93.05194822319329,37.08173860771138,33.614321882118595
