date,gpr_at_spike,cum_return_40d,max_drawdown_40d
1994-06-10,155.3799285888672,0.07163044561620169,-0.014155596822107996
1994-09-20,152.55245971679688,0.05409248111014539,-0.1229600285669921
1994-11-29,154.16485595703125,0.0314357802650247,-0.055591407966812105
1995-03-23,150.57125854492188,0.23462544356662013,-0.009655523374238008
1995-06-01,159.03428649902344,0.29457185385465684,0.0227001385539771
1995-08-14,171.9500732421875,-0.1426994084955543,-0.14269940849555435
1996-01-18,161.17486572265625,0.017693356990921512,0.0036924675304110238
1996-04-01,152.65289306640625,0.13058648816178403,-0.007299711540062401
1996-06-27,181.71800231933597,0.013604839712775277,-0.17224545416835968
1996-09-03,191.7550048828125,0.1000412315048183,-0.053575654028966
1997-04-23,159.28932189941406,0.14418654111490778,-0.0078004015010490965
1998-05-12,150.18484497070312,-0.17889881181279288,-0.28635932058886965
1998-08-21,202.74661254882807,-0.06084363695801211,-0.2566771594702924
1998-12-17,155.8855438232422,0.1942918924770684,0.044308446322518284
1999-12-28,187.31781005859372,0.35833956508434783,-0.050600555851704095
2000-10-13,195.9777069091797,-0.07652978985561476,-0.2494214345070505
2001-09-17,744.77197265625,-0.004606481545336036,-0.36166765043086996
2002-01-28,152.34686279296875,0.06817154231287059,-0.054998507153667206
2002-04-01,156.4376678466797,-0.1750968348957529,-0.2359341153086731
2002-06-03,196.47496032714844,-0.3463856319300801,-0.41335952874613147
2002-08-06,171.0715789794922,-0.12759648601065737,-0.18402072322662635
2002-10-23,161.51956176757812,0.11642810958004261,0.049424089688176104
2003-01-07,209.52989196777344,-0.1399217333248437,-0.23998690674428752
2003-04-29,159.49400329589844,0.06624164675196922,-0.0012624011152010013
2003-07-08,190.14739990234372,0.1434799662503364,-0.0703715920402205
2003-09-08,165.078125,0.0767886180368507,-0.09110436287472731
2003-11-11,151.92530822753906,0.06515889398669072,-0.07277264803891831
2004-02-02,184.90579223632807,-0.05360613429949471,-0.11735058867469181
2004-04-12,187.35340881347656,-0.04712871637523621,-0.14914480647874032
2004-06-18,190.44378662109372,-0.2124552639934038,-0.21622618581634354
2004-08-25,171.28964233398438,0.0338436880233757,-0.0770798891578465
